Question,Options,Answer
___とたん、眠くなった。,a.勉強が終わった b.勉強をした c.勉強をしていた,a
弟は、やっと見つけた就職先なのに、___のうちに、もう辞めてしまった。,a.仕事を覚えたか覚えないか b.働いているかいないか c.友達がいるかいないか,a
この料理、熱いうちに___。,a.おいしいですよ b.召し上がってください c.いい香りいがします,b
交通費は___一方だ。,a.値上がりする b.値上がりしている c.値上がりした,a
___としています。,a.間も無く夏が終わろう b.今日は雨が降ろう c.今年の冬は寒くなろう,a
___つつ、いろいろなことを思い出した。,a.ボートをこぎ b.ソファに座り c.電車に乗り,a
___たばこを吸わないでよ。,a.歩いて b.歩きつつ c.歩きながら,c
会議が___りんさんが慌てて入ってきた。,a.始まるうちに b.始まっている最中に c.始まろうとしているとき,c
新幹線の切符は、ホテルの予約をした上で___。,a.買うことができた b.買うことにした c.買えることになった,b
___次第、すぐお知らせください。,a.事故が起こり b.体調が悪くなり c.現地からメールが届き,c
会議が終わり次第、会議室の掃除を___。,a.しなくてもいいです b.始めます c.しました,b
___からでないと、新しい事業に取りかかれない。,a.車の運転ができて b.いいアイディアがあって c.お金の準備ができて,c
この会議が___、作業を始めなければならない。,a.終わってからでないと b.終わってはじめて c.終わり次第,c
あのレストランは、___からしてわたしは好きになれなかった。,a.料理 b.食器の色 c.味,b
___を通じて、現地のコンサートの入場券を予約しておいた。,a.英語 b.電話 c.旅行会社,c
子供たちが書いた作文を通して___,a.授業計画を立てた b.子供社会の現状を知った c.非常に感動した,b
映画が好きなので、時間とお金が___限り見に行っている。,a.許す b.許せる c.許した,a
両手に___だけのみかんをもらって帰った。,a.持つ b.持てる c.持てた,b
お子様に限り、___,a.子供料金は１００円です b.ここに入らないでください c.プレゼントがあります,c
ここに車を止められるのは、許可をもらっている人___です。,a.しか b.だけ c.に限り,b
わたしに収入が___寄付を続けるつもりだ。,a.ある場合に限り b.ある限りでは c.ある限りは,c
リサイクルの店を___、いろいろな方面から話を聞いた。,a.開き次第 b.開きつつ c.開くにあたって d.開きながら,c
母に___どうしても本当のことを言わないといけないと思う。,a.限り b.ばかり c.限って d.だけは,d
部長のチェックを___積極的に話を進めてもいいよ。,a.受けてからだと b.受けてからなら c.受けてからでないと d.受けてからでないなら,b
海の向こうに真っ赤な太陽が___。感動的な景色だった。,a.沈もうとしていた b.沈むばかりだった c.沈んでいた d.沈む最中だった,a
２年___新しい道路の建設工事がやっと終わった。,a.にわたって b.にわたる c.を通して d.を通す,b
この薬をのむようになってから、よく眠れるようになったばかりか、___。,a.食欲もでてきた b.のどが渇くようになった c.集中力もなくなった,a
ビタミンＢ___、ビタミンＥも体に必要な栄養素である。,a.の上に b.ばかりでなく c.ばかりか,b
わたしはこの地域の植物に関して___。,a.本でしらべてみた b.世話をしている c.写真に撮っている,a
新年度の予算案をめぐって___。,a.国民はあまり関心がない b.首相は多く質問を受けた c.対立はまだ続いている,c
うちの子は魚のことにかけては___。,a.博士といってもいいくらいだ b.あまり関心がないようだ c.かなり好きらしい,a
外国人に対してこの国は___。,a.暮らしやすいか b.どんなサポートをするのか c.憧れの国なのか,b
田中さんは私に対して___。,a.お姉さんのような人だ b.最も信頼できる c.特別に親切にしてくれる,c
A校は___に対して、B校は文化施設をたくさん持っている。,a.スポーツ施設がいい b.スポーツ施設がいいの c.スポーツ施設の良さ,b
本日の運動会は___に沿って順番に進めていきます。,a.プログラム b.いつもの年 c.学年,a
新人の店員たちはマニュアルに___やり方でお客様に応対している。,a.沿って b.沿った c.沿っての,b
公園は___のもとに、環境が守られている。,a.国の保護 b.観光客 c.村の人々,a
わたしはその日の天候___服を選んでおしゃれを楽しんでいます。,a.に応じて b.と共に c.につれて,a
うちの娘はのんびりしているというか___というか、とにかく変わっているんですよ。,a.頑固 b.マイぺース c.怒りっぽい,b
日本で京都や奈良といった___。,a.旅行をしたい b.旅行したところだ c.所を旅行した,c
時代___人気の対象も変わるのだろうか。,a.を通じて b.に対して c.によって d.に基づいて,c
わが社では、商品の品質改善___アフターサービスにも最大限の努力をしております。,a.からして b.に関して c.はもとより d.をはじめ,c
関西地方の５大学の協力___資源の有効利用についての研究が行われている。,a.に伴って b.の際に c.のもとに d.をもとにして,c
試合の勝ち負け___、自分が大きな失敗をしなかったことはうれしい。,a.にかかわらず b.はともかく c.もかまわず,b
うちの母が毎日___わけがない。三つも仕事を抱えているのだ。,a.暇 b.暇だ c.暇な,c
わたしは___というわけではありませんよ。今日はたまたま休みなのです。,a.今、暇だ b.いつも忙しい c.いつも暇だ,c
___というものではない。品質が問題だ。,a.安ければいい b.安いといい c.安くてもいい,a
責任をとって___というものではない。それでは何も解決しない。,a.辞めればそれですむ b.辞めなくてもすむ c.辞めたほうがいい,a
何でもお金で買える___。お金では買えないものもある。,a.どころではない b.ものではない c.わけではない,c
携帯電話は便利だが、いつでも好きな時に使っていい___。マナーが必要だ。,a.どころではない b.というものではない c.ものですか,b
ここに身分を証明するものが必要と書いてありますが、身分を証明するものというとパスポートでも___。,a.いいでしょうか b.いいです c.いいですよ,a
彼は母親が___にもかかわらず、毎日遊び歩いている。,a.入院 b.入院中だ c.入院中である,c
大雨が___、まり子は自転車で出かけた。,a.降りながら b.降るとわかっていながら c.降りそうながら,b
あの人は事実を___、わたしには何も言わなかった。,a.知っていながら b.知っているといっても c.知っているからといって,a
工事費が高い___この施設はもう3回も建て直しをしている。,a.にもかかわらず b.といっても c.ながら,a
春が___、まだ寒い日が続く。,a.来たからといって b.来ながら c.来たとはいうものの,c
もし、林君が本当にそんなことを言ったのだとすると、___。,a.彼の精神状態が心配だ b.彼に本当かどうか確かめてほしい c.彼とよく話してみるつもりだ,a
この計画を実行するとすれば、___。,a.ぜひ手伝ってください b.貯金が全部おろそう c.いくらぐらいかかりますか,c
マンションで犬が飼えるものなら___。,a.僕が世話をするよ b.僕は飼いたいよ c.うれしいな,b
中山選手の活躍を抜きにしては___。,a.勝利は難しいだろう b.みんな困る c.きっと負けてしまうだろう,a
わざとではない___、大事なものを壊されたんですから怒るのは当たり前です。,a.とすれば b.としたら c.にしても,c
大きい地震が___、この家はたちまち壊れてしまうだろう。,a.起こらないことには b.起ころうものなら c.起こるとなったら,b
たとえ何か理由がある___、彼女があんな態度をとれば悪く受け取られるだろう。,a.にすると b.としたら c.として d.にせよ,d
レポートの内容___、締め切りに間に合って良かった。,a.を問わず b.はともかく c.を抜きにして d.にかかわりなく,b
専門的なこと___、この絵が素晴らしいことはわたしにもわかる。,a.もかまわず b.はさておき c.に基づいて d.のもとで,b
山田さんは趣味の映画のこと___ご飯を食べるのも忘れてしまうほどだ。,a.はさておき b.はともかく c.とすると d.となると,d
わたしは10年も中国で___、中国語がほとんど話せない。,a.暮らしたにしても b.暮らしたからと言って c.暮らしていながら d.暮らしてこのかた,c
この絵本は___が、大人読者が多い。,a.大人向けというわけではない b.大人向けということではない c.大人に向けるわけではない d.大人に向けることではない,a
あの人が___。遊んでばかりですよ。,a.まじめなことですか b.まじめなものですか c.まじめなはずですか d.まじめというものですか,b
結果については___によりお知らせします。,a.手紙 b.文書 c.電話,b
この薬は、20回以上の実験___効果が証明された。,a.によって b.による c.によっての,a
