Question,Options, Answer
今日は___寒くないので、上着はいらないと思う。,a.ただ b.たいして c.なんとかして,b
今日は___品物を見ていただけで、何も買わなかった。,a.ただ b.いくら c.せっかく,a
___怒らないでわたしの話を聞いてください。,a.どうか b.どうも c.どんなに,a
転んだ子供は今にも___顔をしていた。,a.泣いた b.泣きそうな c.泣くような,b
せっかくカメラを___、みんなで写真を撮ろう。,a.持ってきて b.持ってきたら c. 持ってきたのだから,c
3時に駅で待ち合わせした。駅に着くと、彼女はもう___。,a.来た b.来ていた,b
チャイムが鳴ったので玄関の外に出ると、宅配便の人が___。,a.来た b.いた,b
目が痛いので、鏡で___、赤かった。,a.見てみると b.見ていると c.見ていたら,a
今は___お金もない。旅行は無理だ。,a.忙しければ b.暇もなければ c.時間もあれば,b
図書館で古い本は捨てられることに___。,a.した b.なった,b
今度の冬オリンピックはどこに___。,a.しましたか b.なりましたか,b
この公園では花火をしてはいけないことに___。,a.している b.なっている,b
「引っ越しする___したんです。来月から弟といっしょに住むことになったので…二人で住むのには、ここはちょっとせまいんですよ。」,a.ことに b.ように,a
「ええ。駅からも遠いので、自転車を買う___しました」。,a.ことに b.ように,a
わたしはなるべく肉よりも___ようにしている。,a.魚を食べる b.魚が食べられる,a
うちの台所は、長い時間ガスを使うと___ようになっている。,a.火を消す b.火が消える,b
ホテルでは、お風呂に入っても___ようになっている。,a.電話をかける b.電話がかけられる,b
わたしはあの有名な歌手に___、握手もした。,a.会うばかりで b. 会ったばかりでなく c.会ってばかりいないで,b
出席者もそろったので、後はパーティーが始まるのを___,a.待つばかりだ b.待ってばかりいる c.待ったばかりだ,a
子供が生まれる日が近づいたが、夫の僕は何もできない。ただ___,a.見守るばかりだ b.見守ったばかりだ c.見守ってばかりいる,a
医者にお酒を止められているが、ちょっと___いいだろう。,a.だけでは b.だけでも c.ぐらいなら d.などなら,c
意味が正しく___、正しい言葉を使いましょう。,a.伝えるために b.伝わるように c.伝わることで d.伝えることで,b
一度会った___どんな人物か分からない。,a.ほどなら b.ことでも c.だけでも d.だけでは,d
人形に話を聞かせても___わけがないでしょう。,a.わかる b.わからない c.わかりにくい,a
荷物が重いけれど、ここに___わけにはいかない。,a.置いていく b.置いていける c.置いていない,a
彼女は今、日本にいないのだから、明日の会に___。,a.来るわけがない b.来ないわけにはいかない c.来るというわけではない,a
ゲームはいけないという___が、子供はもっと外で遊んだほうがいい。,a.わけにはいかない b.わけではない c.わけがない,b
実験のやり方を変えてみたいんです。今度はきっと成功する___です。期待していてください。,a.わけ b.はず,b
実験のやり方を変えてみたいんです。だから、こんなにいい結果がでた___です。,a.わけ b.はず,a
みんなが心配している___問題点は、もう解決したのではないだろうか。,a.ような b.ように c.ようだ,a
わたしの日本語の発音はフランス語の___と言われた。,a.ような b.ように c.ようだ,c
小さい子供でも食べられる___メニューは何かありますか。,a.ような b.ように c.ようだ,a
表からわかる___男女の大学進学率はほとんど同じになっています。,a.ような b.ように c.ようだ,b
母は地震の後も何もなかったか___落ち着いていた。,a.のように b.ように,a
覚えた漢字を忘れない___、ときどき復習している。,a.ために b.ように,b
太陽の光が部屋いっぱいに入る___カーテンを大きく開けてください。,a.ために b.ように,b
___だろう。君の将来を考えていっているんだ。,a.泣くのはない b.泣くことはない c.泣かないの,b
パソコンはクラスを作る___に役立つ。,a.こと b.の,a
氷点という___は水が氷になる、または氷が水になる温度のことである。,a.こと b.の,b
これからはますます就職が難しくなる___ではないか。,a.こと b.の,b
あれ？あっちの方からだれかが呼んでいる___が聞こえませんか。,a.こと b.の,b
服のデザインは時代___変わる。,a.について b.に対して c.によって d.にとって e.として,c
昔、コーヒーやお茶は薬___飲まれていた。,a.について b.に対して c.によって d.にとって e.として,e
あの市長はわたしたち市民___いつも偉そうな態度だ。,a.について b.にとって c.に対して,c
次の電車までまだ時間があるから、雑誌___読んで待っていよう。,a.こそ b.でも c.さえ d.まで e.ぐらい f.など g.だけ,b
お父さんは出張で疲れているだろうから、寝たい___寝させてあげよう。,a.こそ b.でも c.さえ d.まで e.ぐらい f.など g.だけ,e
毎朝電車で会う、名前___知らない人を好きになった。,a.こそ b.でも c.さえ d.まで e.ぐらい f.など g.だけ,c
苦手な漢字のテストが夢にまで___。,a.出てくる b.出てこない,a
「胃の検査をするので、朝から水___飲んでみたいないんです。」「あ、水を飲んだんですか。それじゃ、検査ができないと思いますよ。」,a.も b.しか c.ぐらい,b
『図書館で』あ、それは持ち出し禁止の資料ですので、___。,a.お借りできません b.お貸しできません c.お借りしません d.お貸しになりません,a
会社を___,a.出るようにしたら b.出ている間 c.出ようとしたら d.出ているうちに,c
「お宅のこうちゃん、薬飲まないの？」「そうなの。あの子、___、いやがって口を開けないよ。」,a.飲むことにしても b.飲むつもりでも c.飲ませたつもりでも d.飲ませんようとしても,d
