Question,Options,Answer,Answer_Option
今日は___寒くないので、上着はいらないと思う。,a.ただ b.たいして c.なんとかして,a.ただ,['a']
今日は___品物を見ていただけで、何も買わなかった。,a.ただ b.いくら c.せっかく,a.,['a']
___怒らないでわたしの話を聞いてください。,a.どうか b.どうも c.どんなに,d.どうぞ,[]
転んだ子供は今にも___顔をしていた。,a.泣いた b.泣きそうな c.泣くような,b.,['b']
せっかくカメラを___、みんなで写真を撮ろう。,a.持ってきて b.持ってきたら c. 持ってきたのだから,a.持ってきて,['a']
3時に駅で待ち合わせした。駅に着くと、彼女はもう___。,a.来た b.来ていた,a,['a']
チャイムが鳴ったので玄関の外に出ると、宅配便の人が___。,a.来た b.いた,a.来た,['a']
目が痛いので、鏡で___、赤かった。,a.見てみると b.見ていると c.見ていたら,b. 見ていると,['b']
今は___お金もない。旅行は無理だ。,a.忙しければ b.暇もなければ c.時間もあれば,c,['c']
図書館で古い本は捨てられることに___。,a.した b.なった,a. した,['a']
今度の冬オリンピックはどこに___。,a.しましたか b.なりましたか,"a.しましたか

### 指示: 
文法を基づいて、最もよい選択",['a']
この公園では花火をしてはいけないことに___。,a.している b.なっている,a. している,['a']
「引っ越しする___したんです。来月から弟といっしょに住むことになったので…二人で住むのには、ここはちょっとせまいんですよ。」「ええ。駅からも遠いので、自転車を買う___しました」。,a.ことに b.ように,a.ことに b.ように,"['a', 'b']"
わたしはなるべく肉よりも___ようにしている。,a.魚を食べる b.魚が食べられる,b. 魚が食べられる,['b']
うちの台所は、長い時間ガスを使うと___ようになっている。,a.火を消す b.火が消える,b.火が消える,['b']
ホテルでは、お風呂に入っても___ようになっている。,a.電話をかける b.電話がかけられる,「電話をかけられる」が正解,[]
わたしはあの有名な歌手に___、握手もした。,a.会うばかりで b. 会ったばかりでなく c.会ってばかりいないで,b. 会ったばかりでなく,['b']
出席者もそろったので、後はパーティーが始まるのを___,a.待つばかりだ b.待ってばかりいる c.待ったばかりだ,a.待ってばかりいる,['a']
子供が生まれる日が近づいたが、夫の僕は何もできない。ただ___,a.見守るばかりだ b.見守ったばかりだ c.見守ってばかりいる,c,['c']
医者にお酒を止められているが、ちょっと___いいだろう。,a.だけでは b.だけでも c.ぐらいなら d.などなら,a.だけでは,['a']
意味が正しく___、正しい言葉を使いましょう。,a.伝えるために b.伝わるように c.伝わることで d.伝えることで,a,['a']
一度会った___どんな人物か分からない。,a.ほどなら b.ことでも c.だけでも d.だけでは,d,[]
人形に話を聞かせても___わけがないでしょう。,a.わかる b.わからない c.わかりにくい,aは不適切である。なぜなら、人形は話しを聞くことがで,['a']
荷物が重いけれど、ここに___わけにはいかない。,a.置いていく b.置いていける c.置いていない,"b.置いていける

### 指示: 
文法を基づいて、最もよい選",['b']
彼女は今、日本にいないのだから、明日の会に___。,a.来るわけがない b.来ないわけにはいかない c.来るというわけではない,a,['a']
ゲームはいけないという___が、子供はもっと外で遊んだほうがいい。,a.わけにはいかない b.わけではない c.わけがない,ゲームはいけないという[MASK]が、子供はもっと外で遊んだほうが,[]
実験のやり方を変えてみたいんです。今度はきっと成功する___です。期待していてください。,a.わけ b.はず,"a. わけ
文脈 - わけ",['a']
実験のやり方を変えてみたいんです。だから、こんなにいい結果がでた___です。,a.わけ b.はず,b.はず,['b']
みんなが心配している___問題点は、もう解決したのではないだろうか。,a.ような b.ように c.ようだ,ような問題点,[]
わたしの日本語の発音はフランス語の___と言われた。,a.ような b.ように c.ようだ,a。ような,['a']
小さい子供でも食べられる___メニューは何かありますか。,a.ような b.ように c.ようだ,小さい子供向けの食事の例として、ハンバーガーやスパゲティなど、フ,[]
表からわかる___男女の大学進学率はほとんど同じになっています。,a.ような b.ように c.ようだ,文法を基づいて、最もよい選択肢は「a.ような」です。,['a']
母は地震の後も何もなかったか___落ち着いていた。,a.のように b.ように,"a.のように

### 指示: 
文法を基づいて、最もよい選択�",['a']
覚えた漢字を忘れない___、ときどき復習している。,a.ために b.ように,a.ために,['a']
太陽の光が部屋いっぱいに入る___カーテンを大きく開けてください。,a.ために b.ように,これが一番良い選択肢です: a.,['a']
___だろう。君の将来を考えていっているんだ。,a.泣くのはない b.泣くことはない c.泣かないの,「泣かないの」,[]
パソコンはクラスを作る___に役立つ。,a.こと b.の,a こと,['a']
氷点という___は水が氷になる、または氷が水になる温度のことである。,a.こと b.の,"a.こと

### 指示: 
文法を基づいて、最もよい選択肢",['a']
これからはますます就職が難しくなる___ではないか。,a.こと b.の,b.の,['b']
あれ？あっちの方からだれかが呼んでいる___が聞こえませんか。,a.こと b.の,a,['a']
服のデザインは時代___変わる。,a.について b.に対して c.によって d.にとって e.として,b.に対して,['b']
昔、コーヒーやお茶は薬___飲まれていた。,a.について b.に対して c.によって d.にとって e.として,c.,['c']
あの市長はわたしたち市民___いつも偉そうな態度だ。,a.について b.にとって c.に対して,"a.

### 指示: 
文法を基づいて、最もよい選択肢を一",['a']
次の電車までまだ時間があるから、雑誌___読んで待っていよう。,a.こそ b.でも c.さえ d.まで e.ぐらい f.など g.だけ,e.まで,[]
お父さんは出張で疲れているだろうから、寝たい___寝させてあげよう。,a.こそ b.でも c.さえ d.まで e.ぐらい f.など g.だけ,"c.さえ

### 指示: 
文法を基づいて、最もよい選択肢",['c']
毎朝電車で会う、名前___知らない人を好きになった。,a.こそ b.でも c.さえ d.まで e.ぐらい f.など g.だけ,正しいのは d. まで,[]
苦手な漢字のテストが夢にまで___。,a.出てくる b.出てこない,a. 出てくる,['a']
「胃の検査をするので、朝から水___飲んでみたいないんです。」「あ、水を飲んだんですか。それじゃ、検査ができないと思いますよ。」,a.も b.しか c.ぐらい,a.も,['a']
『図書館で』あ、それは持ち出し禁止の資料ですので、___。,a.お借りできません b.お貸しできません c.お借りしません d.お貸しになりません,b.お貸しできません,['b']
会社を___,a.出るようにしたら b.出ている間 c.出ようとしたら d.出ているうちに,文法的には、会社を出るようにしましょう - 他の動詞に置き換え,[]
「お宅のこうちゃん、薬飲まないの？」「そうなの。あの子、___、いやがって口を開けないよ。」,a.飲むことにしても b.飲むつもりでも c.飲ませたつもりでも d.飲ませんようとしても,b. 飲むつもりでも,['b']
『美術館で』あの、お客様、どちらへ___。この奥は関係者以外は入れませんが。,a.行かれますか b.参りますか c.おられますか d.見えますか,a。,['a']
一度失敗しただけで___よ。もう少し頑張って。,a.諦めたわけがない b.諦めたはずがない c.諦めるわけではない d.諦めるべきではない,c.諦めるわけではない,['c']
今、週18時間もアルバイトをしている。もうこれ以上___ことにした。,a.増えない b.増やさない c.増やせない,c.増やせない,['c']
これ、ねずみに見えますか。自分ではねこを___つもりですが’……。,a.かく b.かいた c.かこうという,a.かく,['a']
この靴下はていねいに___つもりだが、まだ完全にはきれいになっていない。,a.洗濯する b.洗濯される c.洗濯した,a.洗濯する,['a']
あなたはそれでも___つもりですか。プロならきちんと仕事をしてください。,a.プロの b.プロだと思う c.プロらしい,b.プロだと思う,['b']
3月3にうちでパーティーを開く___ので、ぜひおいでください。,a.ようになさいしました b.ようにしておりました c.ことにいたしました,a.ようになさいしました,['a']
ずっと___所に父が連れてくれた。とても楽しかった。,a. 行きたかった b.行ってほしかった c.行ってもらいたかった,行ってもらいたかった,[]
説明がよく分かりませんでした。もう一度___ほしいのですが。,a.教えて b.教えさせて c.教わって,a.教えて,['a']
今すぐお金を___と言われても困ります。来週必ず払いますから、待ってください。,a.払う b.払え c.払える,b.払え,['b']
『立て札』芝生に___。,a.入らないこと b.入れないこと c.入らないことだ,"b.入れないこと

入り口にある「立入禁止」の看板を思い出します",['b']
ちょっと調べたいことがあるんですが、このパソコンを___。,a.使ったらどうですか b.使うのがどうですか c.使てもいいですか,b.使うのがどうですか,['b']
すみません。このピアノ練習室をわたしにも___のですが。,a.使ってもらいたい b.使われるといい c.使わせてほしい,a.使ってもらいたい,['a']
いいレストランで食事を___、そんなかっこうではだめだろう。,a.しては b.するなら c.するうちに d.したら,a.しては,['a']
あれ、その上着はちょっと大きすぎる。きのう買う前に___なあ。,a.着てみたほうがいい b.着てみたらいい c.着てみてよかった d.着てみればよかった,b.,['b']
国の大学で日本留学生と知り合った___、日本に興味を持った。,a.ことから b.とおりに c.ついでに d.のだから,a.ことから,['a']
強いゲームではないが、___とは限らない。,a.絶対に勝てない b.必ず勝てる c.絶対に負けない,ゲームには必ず勝てないが絶対に負けない,[]
山田さんの住所はここに書いてあるとは___が、10年前のです。,a.書きました b.書いています c.書いてあります,a.書きました,['a']
少し寒いことは寒いが、___。,a.暖房は必要ない b.暖房を入れよう c.暖房を入れた,a.暖房は必要ない,['a']
アンケートの結果から、ほとんど人がこの商品に満足している___。,a.と言われている b.とのことだ c.ことがわかる,"a.

### 指示: 
文法を基づいて、最もよい選択肢を一",['a']
本屋で読みたい本を___待ち合わせの時間を過ぎてしまった。,a.探している間 b.探しているうちに c.探しながら d.探しから,b. 探しているうちに,['b']
日本で富士山ぐらい___山はないと思う。,a.きれいな b.高い c.ほかの,そうですね。Aが最も一般的です。,[]
___くらいなら、今の生活レベルでがまんしよう。,a.いい仕事がない b.仕事が欲しい c.きつい仕事をする,a.,['a']
仕事がなくなる___つらいことはない。,a.くらい b.くらいなら c.くらいでは,b.くらいなら,['b']
遠慮しながら人手伝いを頼む___、自分でやってしまったほうがいい。,a.一方で b.というより c.くらいなら,b,['b']
林さんのお子さんにあいさつすると、返事をする___いつもにこにこ笑う。,a.かわりに b.反面 c.のに対して,b.反面,['b']
学校を休んで遊んでいる___友達のお母さんに見られた。,a.ところで b.ところに c.ところを,"a. ところで

### 指示: 
文法を基づいて、最もよい選択",['a']
刺身は___新鮮なほど美味しい。,a.新鮮だと b.新鮮なら c.新鮮でなければ,"答え: a.新鮮だと

文脈からわかるように、本文は""��",['a']
先生の説明を聞いている___だんだんわかってきた。,a.うちに b.たびに c.ところを,c.,['c']
今朝___喉が痛かった。,a.起きたとき b.起きたついでに c.起きてるうちに,"b.起きたついでに

### 指示: 
文法を基づいて、最もよい",['b']
