Question,Options,Answer,Answer_Option,Answer_Update,Answer_Option_Update
今日は___寒くないので、上着はいらないと思う。,a.ただ b.たいして c.なんとかして,a.ただ,['a'],選択肢aが正解です。「ただ」は、「それほど」や「特別に」といった意味で使われます。,['a']
今日は___品物を見ていただけで、何も買わなかった。,a.ただ b.いくら c.せっかく,a.,['a'],a.ただ - 「た」は過去形で、「だ」は完了の助動詞です。これは、「今日は」が過去の出来事であり、それが終わったことを表してい,['a']
___怒らないでわたしの話を聞いてください。,a.どうか b.どうも c.どんなに,d.どうぞ,[],a.どうか,['a']
転んだ子供は今にも___顔をしていた。,a.泣いた b.泣きそうな c.泣くような,b.,['b'],選択肢cが正解です。「泣く」という動詞の形容詞形が「泣きそうな」です。,['c']
せっかくカメラを___、みんなで写真を撮ろう。,a.持ってきて b.持ってきたら c. 持ってきたのだから,a.持ってきて,['a'],a.持ってきて - 「持ってきて」が正解です。これは、動詞「持ってくる」の命令形です。,['a']
3時に駅で待ち合わせした。駅に着くと、彼女はもう___。,a.来た b.来ていた,a,['a'],a.来た - 「来た」は過去形で、「来ていた」は現在完了形です。,['a']
チャイムが鳴ったので玄関の外に出ると、宅配便の人が___。,a.来た b.いた,a.来た,['a'],a.来た - 「来た」は動詞で、「来る」の連用形です。これは、「来る」の未然形（「来る」の活用語尾）であり、「来る」の未然形は,['a']
目が痛いので、鏡で___、赤かった。,a.見てみると b.見ていると c.見ていたら,b. 見ていると,['b'],a.見てみると - これは、「見て」という動詞の現在分詞形であり、「見て」という動詞の過去分詞形である「見ていた」,['a']
今は___お金もない。旅行は無理だ。,a.忙しければ b.暇もなければ c.時間もあれば,c,['c'],a.忙しければ,['a']
図書館で古い本は捨てられることに___。,a.した b.なった,a. した,['a'],選択肢aが正解です。「図書館で古い本は捨てられる」という文章は、主語が「図書館」で、述語が「古い本は捨てられ,['a']
今度の冬オリンピックはどこに___。,a.しましたか b.なりましたか,"a.しましたか

### 指示: 
文法を基づいて、最もよい選択",['a'],選択肢bが正解です。「なりました」は過去形です。,['b']
この公園では花火をしてはいけないことに___。,a.している b.なっている,a. している,['a'],選択肢aが正解です。「している」は現在形で、「なっている」は過去形です。,['a']
